abandon	Từ bỏ, bỏ rơi	To abandon a hope.	disregard, freedom	 keep, pursue
above	Ở trên	As was stated above.	aloft, atop, beyond, high, on high	below, under, deficient, fewer, less, inferior
alone	Một mình, trơ trọi, cô đơn, đơn độc	To go it alone.	abandoned	together, accompanied
answer	Sự trả lời; câu trả lờI	To give an answer to somebody about something.	acknowledgment, antiphon	question
arrive	Đi đến,đến nơi	To arrive at school.	access, alight	depart, disappear
ascent	Sự trèo lên, sự đi lên	To make an ascent in a balloon.	 ascending, ascension	decline, descent
average	Số trung bình	Below the average.	boilerplate, common	abnormal, atypical
ban	Cấm đoán, cấm chỉ	Crackers have been strictly banned in Vietnam.	boycott, censorship	allowance, permission
before	Trước, đằng trước	To have a whole life before one.	afore, aforetime	after, afterward
begin	Bắt đầu, mở đầu, khởi đầu	To begin upon.	activate,actualize	null
bewilder	Làm bối rối, làm hoang mang, làm lúng túng	She was bewildered by his sudden change of mood.	addle, baffle	explain, orient
big	To, lớn	A big tree.	ample, awash, a whale of a, brimming, bulky	itsy, little, small, tiny, blah
boring	Chán nản	A boring job.	deadening, drilling	funny, luckily
brief	Ngắn, vắn tắt, gọn	A brief note.	boiled down, breviloquent	nul
buy	Mua	To buy back.	acquisition, bargain, closeout	market, sell
clean	sạch sẽ, lau chùi	I clean my house	graceful, hygienic, immaculate, laundered, neat	cluttered, dirty, filthy, foul, polluted
compatible	Hợp nhau, tương hợp	Compatible single sideband system.	accordant, adaptable	antagonistic, antipathetic
control	điều khiển	The temperature is controlled by a thermostat.	Management	Freedom
cool	Mát mẻ, mát	It's getting cool.	air-conditioned, algid, arctic, biting, chill	hot, temperate, warm, agitated, annoyed
coward	Người nhát gan, người nhút nhát	They had run away—the cowards!	 gutless, milksop, noel, scaredy-cat, sissy	aggressor, hero
dark	Tối, tối tăm, tối mò	It is getting dark.	aphotic, atramentous, black, blackish, caliginous	bright, brilliant, illuminated, light, lucid
dealer	người buôn bán	a car dealer.	Trader	Customer
denote	Biểu hiện, biểu thị	A face that denotes energy.	 announce, argue	NULL
destroy	Phá, phá hoại, phá huỷ	To destroy oneself.	abort, annihilate, annul, axe	build, construct, create
difference	sự khác biệt	The differences between men and women.	Distinction	Equal
difficult	Khó, khó khăn	A question difficult to answer.	ambitious, arduous, backbreaker, bothersome, burdensome	calm, easy, free, manageable, plain
display	Sự bày ra, sự trưng bày	To make a display of.	act, affectation	hiding,conceal
dry	Khô, cạn, ráo	A spell of dry cold.	anhydrous, arid, athirst, baked, bald	damp, dripping, humid, juicy, moist
east	Hướng đông, phương đông	To the east of.	gerontogeous, oriental	Null
empty	Trống, rỗng, trống không	The car is empty of petrol.	abandoned, bare, barren, blank, clear	complete, entire, filled, full, replete
exaggerated	Phóng đại	An exaggerated account of his adventures.	enlarge, magnify	depreciate , minimize
exhibit	Vật trưng bày, vật triển lãm	Exhibit booth.	display, exhibition	concealment, cover
expertise	Sự thành thạo, sự tinh thông	Expertise contract.	ability, ableness	null
fact	Việc, sự việc	To confess the fact.	actuality, appearance, authenticity, basis	fabrication, lie
fantastic	tuyệt vời,vô cùng tốt	A fantastic sum of money.	absurd, artificial	common, commonplace
far	Xa, xa xôi, xa xăm	A far region.	afar, a good way, a long way, bit, deep	close, near
first	Thứ nhất	the First World War.	aboriginal, ahead, antecedent, anterior, basic	final, last, least
front	Đằng trước, phía trước; mặt trước	In front of.	advanced, ahead, anterior, facial, first	back, ending, final, finishing, rear
good	Tốt, hay, tuyệt	Very good!	well done	bad
government	Chính phủ	rules for the government of the infirmary.	Authority	Inferiority
happy	vui vẻ	Happy birthday!	funny	sad, bored
health	Sức khỏe	a health risk.	Strength	Illness
high	Cao	High mountain.	aerial, alpine, altitudinous, big, colossal	dwarfed, low, lowly, short, stunted
huge	To lớn, đồ sộ	A huge mistake.	 great, big	 little , miniature
impediment	Sự trở ngại	Impediment in one's speech.	barrier, block	aid, assistance
incompetence	Sự thiếu khả năng	Allegations of professional incompetence.	inexperience, ineptitude	NULL
information	Thông tin	a vital piece of information.	Knowledge	Ignorance
intricate	Rắc rối, phức tạp	An intricate machine.	abstruse, baroque	 simple, systematic
irrespective	Không kể, bất luận	Irrespective of nationality.	NULL	NULL
jeopardized	Gây nguy hiểm	To jeopardise one's life.	NULL	NULL
leadership	lãnh đạo	The post requires a person who combines leadership and energy	administration , authority , capacity	null
leave	Sự cho phép	By your leave.	allowance, assent, authorization, concession	NULL
